row_id,timestamp,close,return,anomaly_zscore,anomaly_kmeans,anomaly_rf,anomaly_gmm,votes,final_label
569,2026-01-10T22:00:00.000Z,90427.76,-0.09167972773177491,0,0,0,0,0,Normal
570,2026-01-10T23:00:00.000Z,90504.7,0.0850844917534177,0,0,0,0,0,Normal
571,2026-01-11T00:00:00.000Z,90640.44,0.1499811611993751,0,0,0,0,0,Normal
572,2026-01-11T01:00:00.000Z,90628.23,-0.013470808394144829,0,0,0,0,0,Normal
573,2026-01-11T02:00:00.000Z,90699.0,0.07808825130977137,0,0,0,0,0,Normal
574,2026-01-11T03:00:00.000Z,90733.5,0.03803790559984144,0,0,0,0,0,Normal
575,2026-01-11T04:00:00.000Z,90785.48,0.0572886530333383,0,0,0,0,0,Normal
576,2026-01-11T05:00:00.000Z,90774.43,-0.012171549899830936,0,0,0,0,0,Normal
577,2026-01-11T06:00:00.000Z,90744.0,-0.03352265610480076,0,0,0,0,0,Normal
578,2026-01-11T07:00:00.000Z,90710.79,-0.03659746098916283,0,0,0,0,0,Normal
579,2026-01-11T08:00:00.000Z,90790.01,0.08733249925394482,0,0,0,0,0,Normal
580,2026-01-11T09:00:00.000Z,90740.02,-0.05506112401573171,0,0,0,0,0,Normal
581,2026-01-11T10:00:00.000Z,90736.67,-0.003691866058663784,0,0,0,0,0,Normal
582,2026-01-11T11:00:00.000Z,90754.99,0.020190293516408886,0,0,0,0,0,Normal
583,2026-01-11T12:00:00.000Z,90938.13,0.20179606653034643,0,0,0,0,0,Normal
584,2026-01-11T13:00:00.000Z,90849.45,-0.09751685019254719,0,0,0,0,0,Normal
585,2026-01-11T14:00:00.000Z,91127.16,0.30568154237589074,0,0,0,0,0,Normal
586,2026-01-11T15:00:00.000Z,90875.79,-0.2758453132962857,0,0,0,0,0,Normal
587,2026-01-11T16:00:00.000Z,91039.15,0.1797618485627428,0,0,0,0,0,Normal
588,2026-01-11T17:00:00.000Z,90986.68,-0.05763454513799671,0,0,0,0,0,Normal
589,2026-01-11T18:00:00.000Z,90886.68,-0.10990619725876893,0,0,0,0,0,Normal
590,2026-01-11T19:00:00.000Z,90690.8,-0.2155211302690252,0,0,0,0,0,Normal
591,2026-01-11T20:00:00.000Z,90708.26,0.01925222845093888,0,0,0,0,0,Normal
592,2026-01-11T21:00:00.000Z,90757.06,0.05379884918970124,0,0,0,0,0,Normal
593,2026-01-11T22:00:00.000Z,90526.02,-0.25456972713747694,0,0,0,0,0,Normal
594,2026-01-11T23:00:00.000Z,91013.65,0.5386628065610299,0,0,0,0,0,Normal
595,2026-01-12T00:00:00.000Z,91258.65,0.2691903906721693,0,0,0,0,0,Normal
596,2026-01-12T01:00:00.000Z,91412.44,0.16852101143289833,0,0,0,0,0,Normal
597,2026-01-12T02:00:00.000Z,92203.56,0.8654401961045943,0,0,0,0,0,Normal
598,2026-01-12T03:00:00.000Z,91808.12,-0.42887714964585655,0,0,0,0,0,Normal
599,2026-01-12T04:00:00.000Z,92175.78,0.400465666871308,0,0,0,0,0,Normal
600,2026-01-12T05:00:00.000Z,92111.86,-0.06934576523246472,0,0,0,0,0,Normal
601,2026-01-12T06:00:00.000Z,91836.34,-0.29911457655942275,0,0,0,0,0,Normal
602,2026-01-12T07:00:00.000Z,91408.09,-0.46631867080069167,0,0,0,1,1,Normal
603,2026-01-12T08:00:00.000Z,90752.27,-0.717463848112343,0,0,0,0,0,Normal
604,2026-01-12T09:00:00.000Z,90685.64,-0.07341965110074788,0,0,0,0,0,Normal
605,2026-01-12T10:00:00.000Z,90433.46,-0.2780815132362613,0,0,0,0,0,Normal
606,2026-01-12T11:00:00.000Z,90620.96,0.20733476304013454,0,0,0,0,0,Normal
607,2026-01-12T12:00:00.000Z,90789.37,0.18584000875734308,0,0,0,0,0,Normal
608,2026-01-12T13:00:00.000Z,90636.01,-0.168918453779332,0,0,0,0,0,Normal
